Date,Daily Average,Social,Entertainment ,Productivity ,Creativity,Other
1-Sep,3,2,0,1,0,0
2-Sep,5,1,0,3,0,1
3-Sep,1,0,0,1,0,0
4-Sep,5,3,1,1,0,0
5-Sep,7,4,1,2,0,0
6-Sep,7,2,0,4,0,1
7-Sep,5,1,1,2,0,1
8-Sep,3,2,0,0,0,1
9-Sep,6,3,0,3,0,0
10-Sep,2,0,1,1,0,0
11-Sep,8,3,4,0,1,0
12-Sep,4,4,0,0,0,0
13-Sep,7,2,3,1,1,0
14-Sep,4,1,1,2,0,0
15-Sep,2,1,0,1,0,0
16-Sep,1,0,0,1,0,0
17-Sep,2,1,1,0,0,0
18-Sep,6,4,2,0,0,0
19-Sep,5,3,1,0,0,1
20-Sep,4,1,1,1,0,1
21-Sep,2,0,0,1,1,0
22-Sep,5,2,1,2,0,0
23-Sep,7,4,0,2,0,1
24-Sep,5,2,1,0,1,1
25-Sep,3,1,1,1,0,0
26-Sep,0,0,0,0,0,0
27-Sep,0,0,0,0,0,0
28-Sep,10,5,5,0,0,0
29-Sep,0,0,0,0,0,0
30-Sep,0,0,0,0,0,0
1-Oct,15,7,2,3,0,3
2-Oct,14,7,2,4,0,1
3-Oct,12,8,3,0,0,1
4-Oct,9,4,5,0,0,0
5-Oct,12,6,3,2,0,1
6-Oct,9,5,1,0,1,2
7-Oct,10,5,2,2,0,1
8-Oct,11,7,1,1,2,0
9-Oct,8,5,1,0,1,1
10-Oct,9,6,2,0,0,1
11-Oct,14,10,2,0,2,0
12-Oct,16,8,2,4,1,1
13-Oct,13,7,0,3,1,2
14-Oct,12,7,1,0,0,4
15-Oct,12,5,4,2,0,1
16-Oct,15,8,3,1,0,3
17-Oct,14,7,3,0,1,3
18-Oct,11,8,1,0,0,1
19-Oct,8,1,1,2,3,1
20-Oct,14,7,3,2,1,1
21-Oct,12,5,2,3,1,1
22-Oct,13,7,2,3,1,0
23-Oct,12,6,3,2,0,1
24-Oct,13,7,1,3,1,1
24-Oct,13,7,1,3,1,1
25-Oct,7,5,0,2,0,0
26-Oct,15,5,3,5,0,2
27-Oct,16,8,3,2,2,1
28-Oct,13,5,4,2,1,1
29-Oct,11,4,4,1,2,0
30-Oct,11,7,1,0,1,2
31-Oct,8,4,2,0,2,0